GEO,TIME,DAYSWEEK,SEX,emp,household,leisure,pc,study,travel,unspec,happyness,RAND_1,RAND_2,RAND_3
Italy,2000,All,Female,1:52,5:20,4:06,11:12,0:14,1:14,0:03,7.1,3,25,121
Italy,2000,D,Female,2:18,5:26,3:49,10:56,0:16,1:12,0:03,7.1,6,25,110
Italy,2000,W,Female,0:47,5:05,4:47,11:51,0:09,1:18,0:02,7.1,0,25,121
Italy,2000,All,Male,4:15,1:35,5:05,11:16,0:11,1:35,0:03,7.3,12,5,121
Italy,2000,D,Male,5:14,1:31,4:33,10:56,0:12,1:31,0:03,7.3,15,5,110
Italy,2000,W,Male,1:48,1:45,6:26,12:06,0:06,1:46,0:02,7.3,3,5,132
Italy,2010,All,All,3:12,3:25,4:35,11:11,0:13,1:23,0:01,6.9,9,15,121
Italy,2010,D,All,3:58,3:23,4:09,10:53,0:15,1:22,0:01,6.9,9,15,110
Italy,2010,W,All,1:16,3:28,5:41,11:59,0:08,1:28,0:02,6.9,3,15,121
Italy,2010,All,Female,2:06,5:06,4:08,11:11,0:14,1:15,0:02,6.9,6,25,121
Italy,2010,D,Female,2:36,5:10,3:51,10:55,0:15,1:14,0:01,6.9,6,25,110
Italy,2010,W,Female,0:50,4:58,4:53,11:51,0:10,1:18,0:02,6.9,0,20,121
Italy,2010,All,Male,4:21,1:39,5:03,11:12,0:12,1:32,0:01,6.9,12,5,121
Italy,2010,D,Male,5:24,1:33,4:28,10:50,0:15,1:30,0:01,6.9,15,5,110
Italy,2010,W,Male,1:42,1:56,6:30,12:07,0:07,1:38,0:02,6.9,3,5,132
Latvia,2000,All,All,4:11,2:58,4:25,10:49,0:10,1:24,0:02,5.6,12,10,110
Latvia,2000,D,All,5:15,2:49,3:53,10:27,0:13,1:22,0:02,5.6,15,10,110
Latvia,2000,W,All,1:33,3:21,5:45,11:46,0:05,1:27,0:03,5.6,3,15,121
Latvia,2000,All,Female,3:29,3:56,4:08,10:53,0:12,1:20,0:03,5.6,9,15,110
Latvia,2000,D,Female,4:23,3:50,3:42,10:30,0:14,1:19,0:02,5.6,12,15,110
Latvia,2000,W,Female,1:17,4:10,5:13,11:50,0:06,1:22,0:03,5.6,3,20,121
Latvia,2000,All,Male,5:00,1:50,4:45,10:46,0:09,1:28,0:02,5.5,15,5,110
Latvia,2000,D,Male,6:16,1:37,4:05,10:23,0:11,1:26,0:02,5.5,18,5,110
Latvia,2000,W,Male,1:51,2:23,6:24,11:42,0:04,1:34,0:03,5.5,3,10,121
Latvia,2010,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Latvia,2010,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Latvia,2010,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Latvia,2010,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.3,0,0,0
Latvia,2010,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.3,0,0,0
Latvia,2010,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.3,0,0,0
Latvia,2010,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Latvia,2010,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Latvia,2010,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.2,0,0,0
Lithuania,2000,All,All,4:05,3:25,4:13,10:55,0:10,1:09,0:03,5.4,12,15,110
Lithuania,2000,D,All,4:59,3:18,3:44,10:36,0:12,1:08,0:03,5.4,12,15,110
Lithuania,2000,W,All,1:50,3:44,5:27,11:42,0:04,1:09,0:03,5.4,3,15,121
Lithuania,2000,All,Female,3:31,4:29,3:45,10:56,0:10,1:05,0:04,5.4,9,20,110
Lithuania,2000,D,Female,4:18,4:24,3:20,10:37,0:13,1:04,0:04,5.4,12,20,110
Lithuania,2000,W,Female,1:32,4:43,4:48,11:43,0:05,1:05,0:04,5.4,3,20,121
Lithuania,2000,All,Male,4:45,2:09,4:47,10:53,0:09,1:13,0:03,5.4,12,10,110
Lithuania,2000,D,Male,5:47,2:00,4:12,10:34,0:11,1:13,0:03,5.4,15,10,110
Lithuania,2000,W,Male,2:12,2:32,6:14,11:40,0:03,1:15,0:03,5.4,6,10,121
Lithuania,2010,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.7,0,0,0
Lithuania,2010,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.7,0,0,0
Lithuania,2010,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.7,0,0,0
Lithuania,2010,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.6,0,0,0
Lithuania,2010,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.6,0,0,0
Lithuania,2010,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.6,0,0,0
Lithuania,2010,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.8,0,0,0
Lithuania,2010,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.8,0,0,0
Lithuania,2010,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,6.8,0,0,0
Luxembourg,2000,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.7,0,0,0
Luxembourg,2000,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.7,0,0,0
Luxembourg,2000,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.7,0,0,0
Luxembourg,2000,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Luxembourg,2000,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Luxembourg,2000,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.8,0,0,0
Luxembourg,2000,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.6,0,0,0
Luxembourg,2000,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.6,0,0,0
Luxembourg,2000,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.6,0,0,0
Luxembourg,2010,All,All,3:26,2:49,4:33,11:27,0:14,1:32,0:05,7.8,9,10,121
Luxembourg,2010,D,All,4:27,2:42,4:01,11:00,0:17,1:34,0:05,7.8,12,10,121
Luxembourg,2010,W,All,0:51,3:08,5:53,12:36,0:08,1:24,0:04,7.8,0,15,132
Luxembourg,2010,All,Female,2:44,3:49,4:10,11:34,0:11,1:32,0:06,7.7,6,15,121
Luxembourg,2010,D,Female,3:34,3:47,3:42,11:07,0:13,1:36,0:06,7.7,9,15,121
Luxembourg,2010,W,Female,0:38,3:52,5:21,12:41,0:06,1:22,0:05,7.7,0,15,132
Luxembourg,2010,All,Male,4:06,1:51,4:54,11:20,0:17,1:31,0:04,7.9,12,5,121
Luxembourg,2010,D,Male,5:19,1:37,4:19,10:52,0:20,1:33,0:04,7.9,15,5,110
Luxembourg,2010,W,Male,1:04,2:26,6:24,12:31,0:09,1:27,0:04,7.9,3,10,132
Netherlands,2000,All,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,D,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,W,All,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,All,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,D,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,W,Female,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,All,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,D,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2000,W,Male,00:00,00:00,00:00,00:00,00:00,00:00,00:00,7.5,0,0,0
Netherlands,2010,All,All,2:48,2:52,5:23,11:11,0:13,1:34,0:14,7.7,6,10,121
Netherlands,2010,D,All,3:39,2:49,4:50,10:48,0:16,1:39,0:15,7.7,9,10,110
Netherlands,2010,W,All,0:42,2:57,6:44,12:07,0:08,1:21,0:12,7.7,0,10,132
Netherlands,2010,All,Female,2:02,3:30,5:12,11:29,0:12,1:34,0:17,7.7,6,15,121
Netherlands,2010,D,Female,2:38,3:33,4:46,11:10,0:14,1:39,0:18,7.7,6,15,121
Netherlands,2010,W,Female,0:33,3:23,6:16,12:17,0:07,1:24,0:14,7.7,0,15,132
Netherlands,2010,All,Male,3:35,2:13,5:33,10:52,0:14,1:33,0:11,7.6,9,10,110
